state	pollName	year	startDate	endDate	numberOfRespondents	democratic	republican	someoneElse	undecided	refuseToAnswer	finalTwoPartyVSDemocratic	finalTwoPartyVSRepublican	election	electionDate
CO	Public Opinion Strategies	1998	NA	1998-10-16	500	39	43	NA	NA	NA	49.641025641	50.358974359	Gov	1998-11-03
CT	Quinnipiac University	1998	NA	1998-10-16	683	24	72	NA	NA	NA	36.012207528	63.987792472	Gov	1998-11-03
MD	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-16	828	46	44	NA	NA	NA	55.1551551552	44.8448448448	Gov	1998-11-03
CT	Quinnipiac University	1998	NA	1998-10-16	683	61	29	NA	NA	NA	66.8068088597	33.1931911403	Sen	1998-11-03
IL	University of Illinois at Chicago	1998	NA	1998-10-16	597	31	48	NA	NA	NA	48.5121178035	51.4878821965	Sen	1998-11-03
MD	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-16	821	67	26	NA	NA	NA	70.5	29.5	Sen	1998-11-03
CA	Field Research Corporation (Field Poll)	1998	NA	1998-10-17	809	50	43	NA	NA	NA	60.1659751037	39.8340248963	Gov	1998-11-03
FL	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-17	822	41	51	NA	NA	NA	44.7	55.3	Gov	1998-11-03
MN	Star Tribune	1998	NA	1998-10-17	1007	21	34	NA	NA	NA	51.8934081346	48.1065918654	Gov	1998-11-03
NH	Becker Institute	1998	NA	1998-10-17	355	67	22	NA	NA	NA	66.6330645161	33.3669354839	Gov	1998-11-03
FL	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-17	836	58	32	NA	NA	NA	62.47	37.53	Sen	1998-11-03
HI	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-18	406	37	52	NA	NA	NA	50.6572295248	49.3427704752	Gov	1998-11-03
NM	Research & Polling, Inc.	1998	NA	1998-10-18	916	39	49	NA	NA	NA	45.5	54.5	Gov	1998-11-03
OH	Gordon S. Black Corp.	1998	NA	1998-10-18	1012	28	36	NA	NA	NA	47.1518987342	52.8481012658	Gov	1998-11-03
RI	KRC/Communications Research	1998	NA	1998-10-18	400	45	47	NA	NA	NA	45.2201933405	54.7798066595	Gov	1998-11-03
KY	TMR Research	1998	NA	1998-10-18	800	44	39	NA	NA	NA	49.7017490648	50.2982509352	Sen	1998-11-03
OH	Gordon S. Black Corp.	1998	NA	1998-10-18	1012	28	51	NA	NA	NA	43.5343534353	56.4656465647	Sen	1998-11-03
OK	Tulsa Surveys	1998	NA	1998-10-18	750	16	63	NA	NA	NA	32.0294900676	67.9705099324	Sen	1998-11-03
CA	Los Angeles Times	1998	NA	1998-10-19	883	53	42	NA	NA	NA	60.1659751037	39.8340248963	Gov	1998-11-03
CA	Los Angeles Times	1998	NA	1998-10-19	883	49	44	NA	NA	NA	60.1659751037	39.8340248963	Gov	1998-11-03
IL	Market Shares Corp.	1998	NA	1998-10-19	1099	34	49	NA	NA	NA	48.2233502538	51.7766497462	Gov	1998-11-03
MA	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-19	625	41	46	NA	NA	NA	48.2688391039	51.7311608961	Gov	1998-11-03
CA	Los Angeles Times	1998	NA	1998-10-19	883	49	44	NA	NA	NA	55.2305610492	44.7694389508	Sen	1998-11-03
IL	Market Shares Corp.	1998	NA	1998-10-19	1099	38	48	NA	NA	NA	48.5121178035	51.4878821965	Sen	1998-11-03
AZ	Harris Interactive, online	1998	NA	1998-10-20	732	35	55	NA	NA	NA	36.7875647668	63.2124352332	Gov	1998-11-03
CA	Harris Interactive, online	1998	NA	1998-10-20	4531	50	39	NA	NA	NA	60.1659751037	39.8340248963	Gov	1998-11-03
CO	Harris Interactive, online	1998	NA	1998-10-20	614	46	43	NA	NA	NA	49.641025641	50.358974359	Gov	1998-11-03
FL	Harris Interactive, online	1998	NA	1998-10-20	2295	40	56	NA	NA	NA	44.7	55.3	Gov	1998-11-03
GA	Harris Interactive, online	1998	NA	1998-10-20	1174	42	47	NA	NA	NA	54.4041450777	45.5958549223	Gov	1998-11-03
IA	Talmey-Drake Research & Strategy, Inc.	1998	NA	1998-10-20	408	44	46	NA	NA	NA	52.9352226721	47.0647773279	Gov	1998-11-03
IL	Harris Interactive, online	1998	NA	1998-10-20	1209	37	55	NA	NA	NA	48.2233502538	51.7766497462	Gov	1998-11-03
IL	KRC/Communications Research	1998	NA	1998-10-20	400	42	44	NA	NA	NA	48.2233502538	51.7766497462	Gov	1998-11-03
MA	Harris Interactive, online	1998	NA	1998-10-20	907	36	56	NA	NA	NA	48.2688391039	51.7311608961	Gov	1998-11-03
MA	RKM Research and Communications, Inc.	1998	NA	1998-10-20	402	41	46	NA	NA	NA	48.2688391039	51.7311608961	Gov	1998-11-03
MD	ABC News/Washington Post	1998	NA	1998-10-20	919	49	44	NA	NA	NA	55.1551551552	44.8448448448	Gov	1998-11-03
MD	Harris Interactive, online	1998	NA	1998-10-20	911	42	55	NA	NA	NA	55.1551551552	44.8448448448	Gov	1998-11-03
MI	Harris Interactive, online	1998	NA	1998-10-20	1535	36	51	NA	NA	NA	37.8	62.2	Gov	1998-11-03
NM	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-20	409	43	47	NA	NA	NA	45.5	54.5	Gov	1998-11-03
NY	Harris Interactive, online	1998	NA	1998-10-20	1792	24	48	NA	NA	NA	37.9428571429	62.0571428571	Gov	1998-11-03
OH	Harris Interactive, online	1998	NA	1998-10-20	1793	39	50	NA	NA	NA	47.1518987342	52.8481012658	Gov	1998-11-03
PA	Harris Interactive, online	1998	NA	1998-10-20	1611	16	64	NA	NA	NA	35.0678733032	64.9321266968	Gov	1998-11-03
TX	Harris Interactive, online	1998	NA	1998-10-20	3248	22	73	NA	NA	NA	31.3883299799	68.6116700201	Gov	1998-11-03
AZ	Harris Interactive, online	1998	NA	1998-10-20	732	18	66	NA	NA	NA	28.3211678832	71.6788321168	Sen	1998-11-03
CA	Harris Interactive, online	1998	NA	1998-10-20	4531	46	45	NA	NA	NA	55.2305610492	44.7694389508	Sen	1998-11-03
CO	Harris Interactive, online	1998	NA	1998-10-20	614	37	55	NA	NA	NA	35.9150594994	64.0849405006	Sen	1998-11-03
FL	Harris Interactive, online	1998	NA	1998-10-20	2295	60	31	NA	NA	NA	62.47	37.53	Sen	1998-11-03
GA	Harris Interactive, online	1998	NA	1998-10-20	1174	37	53	NA	NA	NA	46.298195242	53.701804758	Sen	1998-11-03
IL	Harris Interactive, online	1998	NA	1998-10-20	1209	38	52	NA	NA	NA	48.5121178035	51.4878821965	Sen	1998-11-03
IL	Illinois Wesleyan University	1998	NA	1998-10-20	423	31	53	NA	NA	NA	48.5121178035	51.4878821965	Sen	1998-11-03
IL	KRC/Communications Research	1998	NA	1998-10-20	400	40	50	NA	NA	NA	48.5121178035	51.4878821965	Sen	1998-11-03
IN	Harris Interactive, online	1998	NA	1998-10-20	831	63	27	NA	NA	NA	64.6837884479	35.3162115521	Sen	1998-11-03
MD	Harris Interactive, online	1998	NA	1998-10-20	911	67	27	NA	NA	NA	70.5	29.5	Sen	1998-11-03
NC	Harris Interactive, online	1998	NA	1998-10-20	1163	47	38	NA	NA	NA	52.108801956	47.891198044	Sen	1998-11-03
NY	Harris Interactive, online	1998	NA	1998-10-20	1792	44	46	NA	NA	NA	55.3394123607	44.6605876393	Sen	1998-11-03
OH	Harris Interactive, online	1998	NA	1998-10-20	1793	37	55	NA	NA	NA	43.5343534353	56.4656465647	Sen	1998-11-03
PA	Harris Interactive, online	1998	NA	1998-10-20	1611	25	57	NA	NA	NA	36.1905752627	63.8094247373	Sen	1998-11-03
SD	NRECA Market Research	1998	NA	1998-10-20	500	58	26	NA	NA	NA	63.0542871639	36.9457128361	Sen	1998-11-03
WA	Harris Interactive, online	1998	NA	1998-10-20	831	54	41	NA	NA	NA	58.41	41.59	Sen	1998-11-03
AL	University of South Alabama	1998	NA	1998-10-21	820	46	32	NA	NA	NA	57.8156312625	42.1843687375	Gov	1998-11-03
MI	Mitchell Research & Communications	1998	NA	1998-10-21	600	30	62	NA	NA	NA	37.8	62.2	Gov	1998-11-03
RI	KRC/Communications Research	1998	NA	1998-10-21	400	45	40	NA	NA	NA	45.2201933405	54.7798066595	Gov	1998-11-03
CO	Ciruli Associates	1998	NA	1998-10-21	400	30	61	NA	NA	NA	35.9150594994	64.0849405006	Sen	1998-11-03
NY	SurveyUSA	1998	NA	1998-10-21	500	48	43	NA	NA	NA	55.3394123607	44.6605876393	Sen	1998-11-03
NY	Zogby Analytics, telephone	1998	NA	1998-10-21	703	39	43	NA	NA	NA	55.3394123607	44.6605876393	Sen	1998-11-03
AL	Southern Opinion Research	1998	NA	1998-10-22	500	60	35	NA	NA	NA	57.8156312625	42.1843687375	Gov	1998-11-03
CO	Ciruli Associates	1998	NA	1998-10-22	500	41	47	NA	NA	NA	49.641025641	50.358974359	Gov	1998-11-03
FL	Forman Center	1998	NA	1998-10-22	557	43	51	NA	NA	NA	44.7	55.3	Gov	1998-11-03
FL	Independent Market Research	1998	NA	1998-10-22	670	40	51	NA	NA	NA	44.7	55.3	Gov	1998-11-03
HI	Ward Research (Honolulu Star-Advertiser)	1998	NA	1998-10-22	480	36	44	NA	NA	NA	50.6572295248	49.3427704752	Gov	1998-11-03
NE	RKM Research and Communications, Inc.	1998	NA	1998-10-22	831	36	50	NA	NA	NA	46.046046046	53.953953954	Gov	1998-11-03
FL	Fleming & Associates	1998	NA	1998-10-22	557	61	31	NA	NA	NA	62.47	37.53	Sen	1998-11-03
FL	Independent Market Research	1998	NA	1998-10-22	670	61	25	NA	NA	NA	62.47	37.53	Sen	1998-11-03
WI	Fairbank, Maslin, Maullin, Metz & Associates	1998	NA	1998-10-22	599	44	43	NA	NA	NA	51.0864072764	48.9135927236	Sen	1998-11-03
NY	CBS News/New York Times	1998	NA	1998-10-23	639	21	56	NA	NA	NA	37.9428571429	62.0571428571	Gov	1998-11-03
NY	Quinnipiac University	1998	NA	1998-10-23	547	24	57	NA	NA	NA	37.9428571429	62.0571428571	Gov	1998-11-03
RI	Fleming & Associates	1998	NA	1998-10-23	400	38	42	NA	NA	NA	45.2201933405	54.7798066595	Gov	1998-11-03
WI	Market Shares Corp.	1998	NA	1998-10-23	600	26	67	NA	NA	NA	39.3292682927	60.6707317073	Gov	1998-11-03
KY	Louisville Courier-Journal	1998	NA	1998-10-23	589	44	43	NA	NA	NA	49.7017490648	50.2982509352	Sen	1998-11-03
NY	CBS News/New York Times	1998	NA	1998-10-23	850	44	44	NA	NA	NA	55.3394123607	44.6605876393	Sen	1998-11-03
NY	Quinnipiac University	1998	NA	1998-10-23	547	48	44	NA	NA	NA	55.3394123607	44.6605876393	Sen	1998-11-03
WI	Market Shares Corp.	1998	NA	1998-10-23	600	43	46	NA	NA	NA	51.0864072764	48.9135927236	Sen	1998-11-03
AR	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-24	810	33	58	NA	NA	NA	39.2893401015	60.7106598985	Gov	1998-11-03
FL	SurveyUSA	1998	NA	1998-10-24	500	41	53	NA	NA	NA	44.7	55.3	Gov	1998-11-03
MD	Potomac Incorporated	1998	NA	1998-10-24	1205	52	44	NA	NA	NA	55.1551551552	44.8448448448	Gov	1998-11-03
MN	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-24	816	23	33	NA	NA	NA	51.8934081346	48.1065918654	Gov	1998-11-03
NY	Zogby Analytics, telephone	1998	NA	1998-10-24	700	22	53	NA	NA	NA	37.9428571429	62.0571428571	Gov	1998-11-03
OH	University of Cincinnati (Ohio Poll)	1998	NA	1998-10-24	708	35	51	NA	NA	NA	47.1518987342	52.8481012658	Gov	1998-11-03
AR	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-24	810	56	36	NA	NA	NA	56.5981500514	43.4018499486	Sen	1998-11-03
OH	University of Cincinnati (Ohio Poll)	1998	NA	1998-10-24	733	34	62	NA	NA	NA	43.5343534353	56.4656465647	Sen	1998-11-03
AL	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-25	808	49	43	NA	NA	NA	57.8156312625	42.1843687375	Gov	1998-11-03
AL	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-25	808	53	45	NA	NA	NA	57.8156312625	42.1843687375	Gov	1998-11-03
CA	Field Research Corporation (Field Poll)	1998	NA	1998-10-25	678	53	39	NA	NA	NA	60.1659751037	39.8340248963	Gov	1998-11-03
IL	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-25	813	37	48	NA	NA	NA	48.2233502538	51.7766497462	Gov	1998-11-03
NY	Manhattanville College	1998	NA	1998-10-25	601	22	57	NA	NA	NA	37.9428571429	62.0571428571	Gov	1998-11-03
OH	Louis Harris & Associates	1998	NA	1998-10-25	679	43	47	NA	NA	NA	47.1518987342	52.8481012658	Gov	1998-11-03
PA	Millersville University	1998	NA	1998-10-25	481	15	66	NA	NA	NA	35.0678733032	64.9321266968	Gov	1998-11-03
AL	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-25	808	29	62	NA	NA	NA	36.7157009907	63.2842990093	Sen	1998-11-03
CA	Field Research Corporation (Field Poll)	1998	NA	1998-10-25	678	51	42	NA	NA	NA	55.2305610492	44.7694389508	Sen	1998-11-03
CO	Ciruli Associates	1998	NA	1998-10-25	400	31	60	NA	NA	NA	35.9150594994	64.0849405006	Sen	1998-11-03
IL	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-25	813	41	49	NA	NA	NA	48.5121178035	51.4878821965	Sen	1998-11-03
NY	Manhattanville College	1998	NA	1998-10-25	601	50	42	NA	NA	NA	55.3394123607	44.6605876393	Sen	1998-11-03
PA	Millersville University	1998	NA	1998-10-25	481	17	61	NA	NA	NA	36.1905752627	63.8094247373	Sen	1998-11-03
FL	Tarrance Group	1998	NA	1998-10-26	600	40	52	NA	NA	NA	44.7	55.3	Gov	1998-11-03
GA	Marketing Workshop	1998	NA	1998-10-26	709	40	45	NA	NA	NA	54.4041450777	45.5958549223	Gov	1998-11-03
IA	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-26	803	42	47	NA	NA	NA	52.9352226721	47.0647773279	Gov	1998-11-03
IA	Talmey-Drake Research & Strategy, Inc.	1998	NA	1998-10-26	408	44	44	NA	NA	NA	52.9352226721	47.0647773279	Gov	1998-11-03
NV	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-26	817	44	47	NA	NA	NA	44.8717948718	55.1282051282	Gov	1998-11-03
OH	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-26	815	42	49	NA	NA	NA	47.1518987342	52.8481012658	Gov	1998-11-03
OH	University of Cincinnati (Ohio Poll)	1998	NA	1998-10-26	1196	42	53	NA	NA	NA	47.1518987342	52.8481012658	Gov	1998-11-03
PA	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-26	807	23	59	NA	NA	NA	35.0678733032	64.9321266968	Gov	1998-11-03
RI	SurveyUSA	1998	NA	1998-10-26	500	44	45	NA	NA	NA	45.2201933405	54.7798066595	Gov	1998-11-03
GA	Marketing Workshop	1998	NA	1998-10-26	709	35	53	NA	NA	NA	46.298195242	53.701804758	Sen	1998-11-03
IA	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-26	803	24	68	NA	NA	NA	30.8291203236	69.1708796764	Sen	1998-11-03
IN	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-26	819	58	33	NA	NA	NA	64.6837884479	35.3162115521	Sen	1998-11-03
MO	SurveyUSA	1998	NA	1998-10-26	500	41	54	NA	NA	NA	45.3810264386	54.6189735614	Sen	1998-11-03
NV	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-26	817	47	45	NA	NA	NA	50.0522684508	49.9477315492	Sen	1998-11-03
OH	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-26	815	37	55	NA	NA	NA	43.5343534353	56.4656465647	Sen	1998-11-03
OH	University of Cincinnati (Ohio Poll)	1998	NA	1998-10-26	1196	38	62	NA	NA	NA	43.5343534353	56.4656465647	Sen	1998-11-03
PA	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-26	807	34	57	NA	NA	NA	36.1905752627	63.8094247373	Sen	1998-11-03
CA	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-27	809	50	43	NA	NA	NA	60.1659751037	39.8340248963	Gov	1998-11-03
CA	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-27	909	45	43	NA	NA	NA	60.1659751037	39.8340248963	Gov	1998-11-03
CO	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-27	831	39	44	NA	NA	NA	49.641025641	50.358974359	Gov	1998-11-03
CT	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-27	633	33	58	NA	NA	NA	36.012207528	63.987792472	Gov	1998-11-03
FL	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-27	822	43	51	NA	NA	NA	44.7	55.3	Gov	1998-11-03
GA	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-27	809	43	46	NA	NA	NA	54.4041450777	45.5958549223	Gov	1998-11-03
IL	Richard Day Research, Inc.	1998	NA	1998-10-27	712	35	56	NA	NA	NA	48.2233502538	51.7766497462	Gov	1998-11-03
MA	KRC/Communications Research	1998	NA	1998-10-27	400	41	46	NA	NA	NA	48.2688391039	51.7311608961	Gov	1998-11-03
MD	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-27	828	49	45	NA	NA	NA	55.1551551552	44.8448448448	Gov	1998-11-03
NE	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-27	807	39	54	NA	NA	NA	46.046046046	53.953953954	Gov	1998-11-03
NY	Marist College	1998	NA	1998-10-27	351	26	55	NA	NA	NA	37.9428571429	62.0571428571	Gov	1998-11-03
NY	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-27	808	29	54	NA	NA	NA	37.9428571429	62.0571428571	Gov	1998-11-03
OH	Columbus Dispatch	1998	NA	1998-10-27	800	46	47	NA	NA	NA	47.1518987342	52.8481012658	Gov	1998-11-03
SC	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-27	806	44	46	NA	NA	NA	54.0650406504	45.9349593496	Gov	1998-11-03
TX	Hill Research Consultants	1998	NA	1998-10-27	501	22	69	NA	NA	NA	31.3883299799	68.6116700201	Gov	1998-11-03
CA	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-27	809	45	43	NA	NA	NA	55.2305610492	44.7694389508	Sen	1998-11-03
CO	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-27	831	32	58	NA	NA	NA	35.9150594994	64.0849405006	Sen	1998-11-03
CT	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-27	633	60	32	NA	NA	NA	66.8068088597	33.1931911403	Sen	1998-11-03
FL	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-27	822	59	31	NA	NA	NA	62.47	37.53	Sen	1998-11-03
GA	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-27	809	38	51	NA	NA	NA	46.298195242	53.701804758	Sen	1998-11-03
IL	Richard Day Research, Inc.	1998	NA	1998-10-27	712	40	50	NA	NA	NA	48.5121178035	51.4878821965	Sen	1998-11-03
KY	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-27	823	46	45	NA	NA	NA	49.7017490648	50.2982509352	Sen	1998-11-03
NC	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-27	827	43	44	NA	NA	NA	52.108801956	47.891198044	Sen	1998-11-03
NY	Marist College	1998	NA	1998-10-27	351	50	47	NA	NA	NA	55.3394123607	44.6605876393	Sen	1998-11-03
NY	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-27	808	46	43	NA	NA	NA	55.3394123607	44.6605876393	Sen	1998-11-03
OH	Columbus Dispatch	1998	NA	1998-10-27	800	49	51	NA	NA	NA	43.5343534353	56.4656465647	Sen	1998-11-03
SC	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-27	806	49	44	NA	NA	NA	53.5529124733	46.4470875267	Sen	1998-11-03
WA	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-27	801	49	41	NA	NA	NA	58.41	41.59	Sen	1998-11-03
AL	University of South Alabama	1998	NA	1998-10-28	820	52	36	NA	NA	NA	57.8156312625	42.1843687375	Gov	1998-11-03
CO	Ciruli Associates	1998	NA	1998-10-28	500	42	46	NA	NA	NA	49.641025641	50.358974359	Gov	1998-11-03
KS	SurveyUSA	1998	NA	1998-10-28	500	21	74	NA	NA	NA	23.6212278876	76.3787721124	Gov	1998-11-03
MA	RKM Research and Communications, Inc.	1998	NA	1998-10-28	402	38	47	NA	NA	NA	48.2688391039	51.7311608961	Gov	1998-11-03
MA	SurveyUSA	1998	NA	1998-10-28	500	44	48	NA	NA	NA	48.2688391039	51.7311608961	Gov	1998-11-03
NY	Blum & Weprin Associates	1998	NA	1998-10-28	662	25	51	NA	NA	NA	37.9428571429	62.0571428571	Gov	1998-11-03
TX	Blum & Weprin Associates	1998	NA	1998-10-28	967	23	70	NA	NA	NA	31.3883299799	68.6116700201	Gov	1998-11-03
KS	SurveyUSA	1998	NA	1998-10-28	500	31	66	NA	NA	NA	32.6140821805	67.3859178195	Sen	1998-11-03
NY	Blum & Weprin Associates	1998	NA	1998-10-28	662	46	42	NA	NA	NA	55.3394123607	44.6605876393	Sen	1998-11-03
SC	Ayres, McHenry & Associates	1998	NA	1998-10-28	600	43	44	NA	NA	NA	53.5529124733	46.4470875267	Sen	1998-11-03
HI	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-29	406	42	51	NA	NA	NA	50.6572295248	49.3427704752	Gov	1998-11-03
IA	Selzer & Company	1998	NA	1998-10-29	800	43	47	NA	NA	NA	52.9352226721	47.0647773279	Gov	1998-11-03
IL	Zogby Analytics, telephone	1998	NA	1998-10-29	703	37	51	NA	NA	NA	48.2233502538	51.7766497462	Gov	1998-11-03
MN	Star Tribune	1998	NA	1998-10-29	700	27	30	NA	NA	NA	51.8934081346	48.1065918654	Gov	1998-11-03
NY	Quinnipiac University	1998	NA	1998-10-29	584	26	55	NA	NA	NA	37.9428571429	62.0571428571	Gov	1998-11-03
TX	Mason-Dixon Polling & Research, Inc.	1998	NA	1998-10-29	504	25	69	NA	NA	NA	31.3883299799	68.6116700201	Gov	1998-11-03
IL	Zogby Analytics, telephone	1998	NA	1998-10-29	703	45	42	NA	NA	NA	48.5121178035	51.4878821965	Sen	1998-11-03
MO	Zogby Analytics, telephone	1998	NA	1998-10-29	600	36	47	NA	NA	NA	45.3810264386	54.6189735614	Sen	1998-11-03
NY	Quinnipiac University	1998	NA	1998-10-29	584	50	42	NA	NA	NA	55.3394123607	44.6605876393	Sen	1998-11-03
NY	Zogby Analytics, telephone	1998	NA	1998-10-29	1196	41	37	NA	NA	NA	55.3394123607	44.6605876393	Sen	1998-11-03
AZ	Harris Interactive, online	1998	NA	1998-10-30	850	38	55	NA	NA	NA	36.7875647668	63.2124352332	Gov	1998-11-03
CA	Harris Interactive, online	1998	NA	1998-10-30	5735	53	42	NA	NA	NA	60.1659751037	39.8340248963	Gov	1998-11-03
CT	Quinnipiac University	1998	NA	1998-10-30	491	26	67	NA	NA	NA	36.012207528	63.987792472	Gov	1998-11-03
FL	Harris Interactive, online	1998	NA	1998-10-30	2819	41	58	NA	NA	NA	44.7	55.3	Gov	1998-11-03
GA	Harris Interactive, online	1998	NA	1998-10-30	1408	43	50	NA	NA	NA	54.4041450777	45.5958549223	Gov	1998-11-03
IL	Harris Interactive, online	1998	NA	1998-10-30	847	41	55	NA	NA	NA	48.2233502538	51.7766497462	Gov	1998-11-03
MA	Harris Interactive, online	1998	NA	1998-10-30	1083	43	54	NA	NA	NA	48.2688391039	51.7311608961	Gov	1998-11-03
MI	Harris Interactive, online	1998	NA	1998-10-30	1855	38	62	NA	NA	NA	37.8	62.2	Gov	1998-11-03
NY	Harris Interactive, online	1998	NA	1998-10-30	2243	27	49	NA	NA	NA	37.9428571429	62.0571428571	Gov	1998-11-03
OH	Harris Interactive, online	1998	NA	1998-10-30	2149	42	52	NA	NA	NA	47.1518987342	52.8481012658	Gov	1998-11-03
PA	Harris Interactive, online	1998	NA	1998-10-30	1812	21	62	NA	NA	NA	35.0678733032	64.9321266968	Gov	1998-11-03
TX	Harris Interactive, online	1998	NA	1998-10-30	3579	25	73	NA	NA	NA	31.3883299799	68.6116700201	Gov	1998-11-03
AZ	Harris Interactive, online	1998	NA	1998-10-30	850	27	64	NA	NA	NA	28.3211678832	71.6788321168	Sen	1998-11-03
CA	Harris Interactive, online	1998	NA	1998-10-30	5735	48	46	NA	NA	NA	55.2305610492	44.7694389508	Sen	1998-11-03
CT	Quinnipiac University	1998	NA	1998-10-30	491	64	27	NA	NA	NA	66.8068088597	33.1931911403	Sen	1998-11-03
FL	Harris Interactive, online	1998	NA	1998-10-30	2819	61	39	NA	NA	NA	62.47	37.53	Sen	1998-11-03
GA	Harris Interactive, online	1998	NA	1998-10-30	1408	38	56	NA	NA	NA	46.298195242	53.701804758	Sen	1998-11-03
IL	Harris Interactive, online	1998	NA	1998-10-30	847	39	58	NA	NA	NA	48.5121178035	51.4878821965	Sen	1998-11-03
