"election"	"state"	"year"	"pollName"	"startDate"	"endDate"	"numberOfRespondents"	"democratic"	"republican"	"someoneElse"	"undecided"	"refuseToAnswer"	"populationType"	"Mode"	"electionDate"	"finalTwoPartyVSDemocratic"	"finalTwoPartyVSRepublican"
"Pres"	"AR"	2004	"SurveyUSA "	NA	"2004-10-25"	748	45	51	NA	NA	NA	"LV"	NA	"2004-11-02"	45.06372648	54.93627352
"Pres"	"AR"	2004	"Univ Arkansas "	NA	"2004-10-20"	717	44	53	NA	NA	NA	"LV"	NA	"2004-11-02"	45.06372648	54.93627352
"Pres"	"AR"	2004	"AR News/Op Res"	NA	"2004-10-20"	600	48	48	NA	NA	NA	"LV"	NA	"2004-11-02"	45.06372648	54.93627352
"Pres"	"AR"	2004	"SurveyUSA "	NA	"2004-10-17"	716	46	51	NA	NA	NA	"LV"	NA	"2004-11-02"	45.06372648	54.93627352
"Pres"	"AR"	2004	"Zogby "	NA	"2004-10-11"	603	45	46	NA	NA	NA	"LV"	NA	"2004-11-02"	45.06372648	54.93627352
"Pres"	"AR"	2004	"AR News/Op Res"	NA	"2004-10-06"	602	43	52	NA	NA	NA	"LV"	NA	"2004-11-02"	45.06372648	54.93627352
"Pres"	"AR"	2004	"SUSA "	NA	"2004-09-29"	678	44	53	NA	NA	NA	"LV"	NA	"2004-11-02"	45.06372648	54.93627352
"Pres"	"AR"	2004	"Rasmussen "	NA	"2004-09-25"	600	44	51	NA	NA	NA	"LV"	NA	"2004-11-02"	45.06372648	54.93627352
"Pres"	"AR"	2004	"ARG "	NA	"2004-09-17"	699	45	48	NA	NA	NA	"LV"	NA	"2004-11-02"	45.06372648	54.93627352
"Pres"	"AR"	2004	"Zogby/WSJ** "	NA	"2004-09-03"	673	45.9	47.6	NA	NA	NA	"LV"	NA	"2004-11-02"	45.06372648	54.93627352
"Pres"	"AR"	2004	"SurveyUSA "	NA	"2004-08-22"	666	47	48	NA	NA	NA	"LV"	NA	"2004-11-02"	45.06372648	54.93627352
"Pres"	"AR"	2004	"Zogby/WSJ** "	NA	"2004-08-21"	608	48.2	45.6	NA	NA	NA	"LV"	NA	"2004-11-02"	45.06372648	54.93627352
"Pres"	"AR"	2004	"Zogby/WSJ** "	NA	"2004-07-30"	603	46.4	47.9	NA	NA	NA	"LV"	NA	"2004-11-02"	45.06372648	54.93627352
"Pres"	"AR"	2004	"SurveyUSA "	NA	"2004-07-08"	645	47	49	NA	NA	NA	"LV"	NA	"2004-11-02"	45.06372648	54.93627352
"Pres"	"AR"	2004	"Rasmussen "	NA	"2004-05-02"	600	45	45	NA	NA	NA	"LV"	NA	"2004-11-02"	45.06372648	54.93627352
"Pres"	"AR"	2004	"SurveyUSA "	NA	"2004-04-15"	664	45	47	NA	NA	NA	"LV"	NA	"2004-11-02"	45.06372648	54.93627352
"Pres"	"AR"	2004	"Ark St. Univ "	NA	"2004-04-08"	529	43	51	NA	NA	NA	"RV"	NA	"2004-11-02"	45.06372648	54.93627352
"Pres"	"AZ"	2004	"SurveyUSA "	NA	"2004-10-30"	698	41	56	NA	NA	NA	"LV"	NA	"2004-11-02"	44.72650348	55.27349652
"Pres"	"AZ"	2004	"Rasmussen "	NA	"2004-10-26"	600	45	50	NA	NA	NA	"LV"	NA	"2004-11-02"	44.72650348	55.27349652
"Pres"	"AZ"	2004	"Arizona Republic "	NA	"2004-10-19"	699	40	47	NA	NA	NA	"LV"	NA	"2004-11-02"	44.72650348	55.27349652
"Pres"	"AZ"	2004	"SurveyUSA "	NA	"2004-10-19"	715	43	54	NA	NA	NA	"LV"	NA	"2004-11-02"	44.72650348	55.27349652
"Pres"	"AZ"	2004	"NAU "	NA	"2004-10-11"	512	44	49	NA	NA	NA	"LV"	NA	"2004-11-02"	44.72650348	55.27349652
"Pres"	"AZ"	2004	"SurveyUSA "	NA	"2004-10-07"	698	41	55	NA	NA	NA	"LV"	NA	"2004-11-02"	44.72650348	55.27349652
"Pres"	"AZ"	2004	"Arizona Republic "	NA	"2004-10-04"	701	38	48	NA	NA	NA	"LV"	NA	"2004-11-02"	44.72650348	55.27349652
"Pres"	"AZ"	2004	"KAET "	NA	"2004-09-26"	652	42	52	NA	NA	NA	"RV"	NA	"2004-11-02"	44.72650348	55.27349652
"Pres"	"AZ"	2004	"SurveyUSA "	NA	"2004-09-23"	730	43	54	NA	NA	NA	"LV"	NA	"2004-11-02"	44.72650348	55.27349652
"Pres"	"AZ"	2004	"Mason-Dixon "	NA	"2004-09-14"	724	39	50	NA	NA	NA	"LV"	NA	"2004-11-02"	44.72650348	55.27349652
"Pres"	"AZ"	2004	"ARG "	NA	"2004-09-14"	699	43	49	NA	NA	NA	"LV"	NA	"2004-11-02"	44.72650348	55.27349652
"Pres"	"AZ"	2004	"Arizona Republic "	NA	"2004-09-05"	699	38	54	NA	NA	NA	"LV"	NA	"2004-11-02"	44.72650348	55.27349652
"Pres"	"AZ"	2004	"KAET "	NA	"2004-08-22"	511	39	47	NA	NA	NA	"RV"	NA	"2004-11-02"	44.72650348	55.27349652
"Pres"	"AZ"	2004	"Arizona Republic "	NA	"2004-08-01"	700	45	48	NA	NA	NA	"LV"	NA	"2004-11-02"	44.72650348	55.27349652
"Pres"	"AZ"	2004	"SurveyUSA "	NA	"2004-07-14"	864	41	53	NA	NA	NA	"LV"	NA	"2004-11-02"	44.72650348	55.27349652
"Pres"	"AZ"	2004	"KAET "	NA	"2004-06-27"	511	35	47	NA	NA	NA	"RV"	NA	"2004-11-02"	44.72650348	55.27349652
"Pres"	"AZ"	2004	"Arizona Republic "	NA	"2004-06-13"	699	41	44	NA	NA	NA	"LV"	NA	"2004-11-02"	44.72650348	55.27349652
"Pres"	"AZ"	2004	"KAET/ASU "	NA	"2004-05-23"	500	38	43	NA	NA	NA	"RV"	NA	"2004-11-02"	44.72650348	55.27349652
"Pres"	"AZ"	2004	"BRC "	NA	"2004-05-04"	654	37	45	NA	NA	NA	"RV"	NA	"2004-11-02"	44.72650348	55.27349652
"Pres"	"AZ"	2004	"Ariz St. Univ "	NA	"2004-04-26"	522	38	41	NA	NA	NA	"RV"	NA	"2004-11-02"	44.72650348	55.27349652
"Pres"	"AZ"	2004	"SurveyUSA "	NA	"2004-03-18"	733	42	51	NA	NA	NA	"LV"	NA	"2004-11-02"	44.72650348	55.27349652
"Pres"	"AZ"	2004	"Ariz St. Univ"	NA	"2004-02-22"	537	46	44	NA	NA	NA	"RV"	NA	"2004-11-02"	44.72650348	55.27349652
"Pres"	"AZ"	2004	"SurveyUSA "	NA	"2004-02-19"	633	44	52	NA	NA	NA	"RV"	NA	"2004-11-02"	44.72650348	55.27349652
"Pres"	"CA"	2004	"SurveyUSA "	NA	"2004-10-31"	864	54	43	NA	NA	NA	"LV"	NA	"2004-11-02"	55.04205939	44.95794061
"Pres"	"CA"	2004	"Field Poll "	NA	"2004-10-27"	98	49	42	NA	NA	NA	"LV"	NA	"2004-11-02"	55.04205939	44.95794061
"Pres"	"CA"	2004	"SurveyUSA "	NA	"2004-10-25"	840	53	44	NA	NA	NA	"LV"	NA	"2004-11-02"	55.04205939	44.95794061
"Pres"	"CA"	2004	"Strategic Vision (R) "	NA	"2004-10-18"	896	50	41	NA	NA	NA	"LV"	NA	"2004-11-02"	55.04205939	44.95794061
"Pres"	"CA"	2004	"LA Times "	NA	"2004-10-18"	1003	58	40	NA	NA	NA	"LV"	NA	"2004-11-02"	55.04205939	44.95794061
"Pres"	"CA"	2004	"SurveyUSA "	NA	"2004-10-17"	802	53	43	NA	NA	NA	"LV"	NA	"2004-11-02"	55.04205939	44.95794061
"Pres"	"CA"	2004	"Rasmussen "	NA	"2004-10-05"	951	53	42	NA	NA	NA	"LV"	NA	"2004-11-02"	55.04205939	44.95794061
"Pres"	"CA"	2004	"SurveyUSA "	NA	"2004-10-04"	845	51	43	NA	NA	NA	"LV"	NA	"2004-11-02"	55.04205939	44.95794061
"Pres"	"CA"	2004	"Field Poll "	NA	"2004-10-03"	685	49	40	NA	NA	NA	"LV"	NA	"2004-11-02"	55.04205939	44.95794061
"Pres"	"CA"	2004	"SJSU "	NA	"2004-10-01"	699	48	42	NA	NA	NA	"LV"	NA	"2004-11-02"	55.04205939	44.95794061
"Pres"	"CA"	2004	"Rasmussen "	NA	"2004-09-25"	939	53	40	NA	NA	NA	"LV"	NA	"2004-11-02"	55.04205939	44.95794061
"Pres"	"CA"	2004	"Strategic Vision (R) "	NA	"2004-09-22"	896	48	43	NA	NA	NA	"LV"	NA	"2004-11-02"	55.04205939	44.95794061
"Pres"	"CA"	2004	"LA Times "	NA	"2004-09-21"	949	53	40	NA	NA	NA	"LV"	NA	"2004-11-02"	55.04205939	44.95794061
"Pres"	"CA"	2004	"PPIC "	NA	"2004-09-19"	148	51	39	NA	NA	NA	"LV"	NA	"2004-11-02"	55.04205939	44.95794061
"Pres"	"CA"	2004	"ARG "	NA	"2004-09-13"	699	52	41	NA	NA	NA	"LV"	NA	"2004-11-02"	55.04205939	44.95794061
"Pres"	"CA"	2004	"SUSA "	NA	"2004-09-08"	697	52	42	NA	NA	NA	"LV"	NA	"2004-11-02"	55.04205939	44.95794061
"Pres"	"CA"	2004	"Rasmussen "	NA	"2004-09-03"	707	50	42	NA	NA	NA	"LV"	NA	"2004-11-02"	55.04205939	44.95794061
"Pres"	"CA"	2004	"SUSA "	NA	"2004-08-18"	688	49	46	NA	NA	NA	"LV"	NA	"2004-11-02"	55.04205939	44.95794061
"Pres"	"CA"	2004	"Strategic Vision* "	NA	"2004-08-11"	896	50	40	NA	NA	NA	"LV"	NA	"2004-11-02"	55.04205939	44.95794061
"Pres"	"CA"	2004	"PPIC "	NA	"2004-08-11"	7	54	38	NA	NA	NA	"LV"	NA	"2004-11-02"	55.04205939	44.95794061
"Pres"	"CA"	2004	"Field Poll "	NA	"2004-08-04"	732	51	40	NA	NA	NA	"LV"	NA	"2004-11-02"	55.04205939	44.95794061
"Pres"	"CA"	2004	"SUSA "	NA	"2004-07-25"	810	53	41	NA	NA	NA	"LV"	NA	"2004-11-02"	55.04205939	44.95794061
"Pres"	"CA"	2004	"PPIC "	NA	"2004-07-14"	17	49	38	NA	NA	NA	"LV"	NA	"2004-11-02"	55.04205939	44.95794061
"Pres"	"CA"	2004	"SJSU "	NA	"2004-07-02"	707	46	38	NA	NA	NA	"LV"	NA	"2004-11-02"	55.04205939	44.95794061
"Pres"	"CA"	2004	"Field Poll "	NA	"2004-05-24"	746	51	39	NA	NA	NA	"RV"	NA	"2004-11-02"	55.04205939	44.95794061
"Pres"	"CA"	2004	"SUSA "	NA	"2004-05-06"	734	46	45	NA	NA	NA	"LV"	NA	"2004-11-02"	55.04205939	44.95794061
"Pres"	"CA"	2004	"Rasmussen "	NA	"2004-04-24"	602	51	40	NA	NA	NA	"LV"	NA	"2004-11-02"	55.04205939	44.95794061
"Pres"	"CA"	2004	"LA Times "	NA	"2004-04-21"	14	49	39	NA	NA	NA	"RV"	NA	"2004-11-02"	55.04205939	44.95794061
"Pres"	"CA"	2004	"Rasmussen "	NA	"2004-03-11"	550	53	44	NA	NA	NA	"LV"	NA	"2004-11-02"	55.04205939	44.95794061
"Pres"	"CA"	2004	"LA Times "	NA	"2004-02-22"	659	53	40	NA	NA	NA	"LD"	NA	"2004-11-02"	55.04205939	44.95794061
"Pres"	"CO"	2004	"Survey USA "	NA	"2004-11-01"	804	47	50	NA	NA	NA	"LV"	NA	"2004-11-02"	47.63448485	52.36551515
"Pres"	"CO"	2004	"Zogby "	NA	"2004-11-01"	699	47	49	NA	NA	NA	"LV"	NA	"2004-11-02"	47.63448485	52.36551515
"Pres"	"CO"	2004	"Survey USA "	NA	"2004-10-30"	725	46	52	NA	NA	NA	"LV"	NA	"2004-11-02"	47.63448485	52.36551515
"Pres"	"CO"	2004	"Mason-Dixon "	NA	"2004-10-29"	724	43	50	NA	NA	NA	"LV"	NA	"2004-11-02"	47.63448485	52.36551515
"Pres"	"CO"	2004	"Rocky Mtn News "	NA	"2004-10-27"	600	42	51	NA	NA	NA	"LV"	NA	"2004-11-02"	47.63448485	52.36551515
"Pres"	"CO"	2004	"Survey USA "	NA	"2004-10-20"	695	45	52	NA	NA	NA	"LV"	NA	"2004-11-02"	47.63448485	52.36551515
"Pres"	"CO"	2004	"Ciruli Assoc "	NA	"2004-10-19"	699	42	48	NA	NA	NA	"LV"	NA	"2004-11-02"	47.63448485	52.36551515
"Pres"	"CO"	2004	"Rasmussen "	NA	"2004-10-18"	600	45	50	NA	NA	NA	"LV"	NA	"2004-11-02"	47.63448485	52.36551515
"Pres"	"CO"	2004	"CNN/USAT/Gallup "	NA	"2004-10-17"	765	45	51	NA	NA	NA	"LV"	NA	"2004-11-02"	47.63448485	52.36551515
"Pres"	"CO"	2004	"Mason-Dixon "	NA	"2004-10-16"	729	43	49	NA	NA	NA	"LV"	NA	"2004-11-02"	47.63448485	52.36551515
"Pres"	"CO"	2004	"Rcky Mtn News "	NA	"2004-10-14"	511	42	47	NA	NA	NA	"LV"	NA	"2004-11-02"	47.63448485	52.36551515
"Pres"	"CO"	2004	"SurveyUSA "	NA	"2004-10-07"	697	44	52	NA	NA	NA	"LV"	NA	"2004-11-02"	47.63448485	52.36551515
"Pres"	"CO"	2004	"Gallup/CNN/USAT "	NA	"2004-10-06"	766	49	49	NA	NA	NA	"LV"	NA	"2004-11-02"	47.63448485	52.36551515
"Pres"	"CO"	2004	"Mason-Dixon "	NA	"2004-10-06"	729	41	50	NA	NA	NA	"LV"	NA	"2004-11-02"	47.63448485	52.36551515
"Pres"	"CO"	2004	"Rasmussen "	NA	"2004-09-29"	600	44	48	NA	NA	NA	"LV"	NA	"2004-11-02"	47.63448485	52.36551515
"Pres"	"CO"	2004	"SurveyUSA "	NA	"2004-09-23"	725	44	52	NA	NA	NA	"LV"	NA	"2004-11-02"	47.63448485	52.36551515
"Pres"	"CO"	2004	"Ciruli Assoc "	NA	"2004-09-18"	699	38	50	NA	NA	NA	"LV"	NA	"2004-11-02"	47.63448485	52.36551515
"Pres"	"CO"	2004	"Rasmussen "	NA	"2004-09-16"	600	45	46	NA	NA	NA	"LV"	NA	"2004-11-02"	47.63448485	52.36551515
"Pres"	"CO"	2004	"ARG "	NA	"2004-09-13"	699	45	46	NA	NA	NA	"LV"	NA	"2004-11-02"	47.63448485	52.36551515
"Pres"	"CO"	2004	"RMN/News 4 "	NA	"2004-09-13"	600	44	45	NA	NA	NA	"LV"	NA	"2004-11-02"	47.63448485	52.36551515
"Pres"	"CO"	2004	"Rasmussen "	NA	"2004-08-19"	600	47	47	NA	NA	NA	"LV"	NA	"2004-11-02"	47.63448485	52.36551515
"Pres"	"CO"	2004	"SurveyUSA "	NA	"2004-08-16"	721	47	47	NA	NA	NA	"LV"	NA	"2004-11-02"	47.63448485	52.36551515
"Pres"	"CO"	2004	"Rasmussen "	NA	"2004-04-15"	600	44	49	NA	NA	NA	"LV"	NA	"2004-11-02"	47.63448485	52.36551515
"Pres"	"CO"	2004	"RMN/News 4 "	NA	"2004-04-01"	511	40	49	NA	NA	NA	"LV"	NA	"2004-11-02"	47.63448485	52.36551515
"Pres"	"CT"	2004	"Research 2000 "	NA	"2004-10-28"	699	52	42	NA	NA	NA	"LV"	NA	"2004-11-02"	55.27172807	44.72827193
"Pres"	"CT"	2004	"Quinnipiac "	NA	"2004-09-28"	820	50	44	NA	NA	NA	"LV"	NA	"2004-11-02"	55.27172807	44.72827193
"Pres"	"CT"	2004	"ARG "	NA	"2004-09-14"	699	54	39	NA	NA	NA	"LV"	NA	"2004-11-02"	55.27172807	44.72827193
"Pres"	"CT"	2004	"Quinnipiac "	NA	"2004-08-17"	5	45	38	NA	NA	NA	"RV"	NA	"2004-11-02"	55.27172807	44.72827193
"Pres"	"CT"	2004	"Quinnipiac "	NA	"2004-06-28"	1043	50	32	NA	NA	NA	"RV"	NA	"2004-11-02"	55.27172807	44.72827193
"Pres"	"CT"	2004	"Quinnipiac "	NA	"2004-06-01"	16	46	36	NA	NA	NA	"RV"	NA	"2004-11-02"	55.27172807	44.72827193
"Pres"	"CT"	2004	"UConn "	NA	"2004-04-27"	601	51	33	NA	NA	NA	"RV"	NA	"2004-11-02"	55.27172807	44.72827193
"Pres"	"CT"	2004	"UConn "	NA	"2004-03-28"	611	52	33	NA	NA	NA	"RV"	NA	"2004-11-02"	55.27172807	44.72827193
"Pres"	"CT"	2004	"UConn "	NA	"2004-02-29"	553	49	36	NA	NA	NA	"RV"	NA	"2004-11-02"	55.27172807	44.72827193
"Pres"	"FL"	2004	"Zogby "	NA	"2004-11-01"	700	48	48	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"ARG "	NA	"2004-11-01"	699	50	48	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"Quinnipiac "	NA	"2004-10-31"	108	43	51	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"SurveyUSA "	NA	"2004-10-31"	839	48	49	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"FOX News "	NA	"2004-10-31"	799	49	44	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"Rasmussen "	NA	"2004-10-31"	699	47	50	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"Insdr Adv "	NA	"2004-10-31"	511	48	48	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"CNN/USAT/Gallup "	NA	"2004-10-30"	139	50	47	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"Mason-Dixon "	NA	"2004-10-29"	724	45	49	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"Fla Poll/NYT Rgnl "	NA	"2004-10-27"	897	48	47	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"Strategic Vision (R) "	NA	"2004-10-27"	896	46	50	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"Rasmussen "	NA	"2004-10-27"	600	45	50	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"Quinnipiac "	NA	"2004-10-26"	1017	46	49	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"Rasmussen "	NA	"2004-10-26"	666	48	48	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"LA Times "	NA	"2004-10-26"	610	43	51	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"ARG "	NA	"2004-10-25"	699	49	46	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"Strategic Vision (R) "	NA	"2004-10-24"	896	47	49	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"Survey USA "	NA	"2004-10-24"	846	50	48	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"CNN/USAT/Gallup "	NA	"2004-10-24"	700	43	51	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"SPT/Miami Herald"	NA	"2004-10-21"	895	46	46	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"Research 2000 "	NA	"2004-10-21"	699	48	47	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"Strategic Vision (R) "	NA	"2004-10-20"	896	46	49	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"Quinnipiac "	NA	"2004-10-19"	903	47	48	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"Mason-Dixon "	NA	"2004-10-17"	724	45	48	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"SurveyUSA "	NA	"2004-10-17"	700	50	49	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"Univ of North Fl "	NA	"2004-10-15"	740	45	44	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"Strategic Vision (R) "	NA	"2004-10-14"	896	45	49	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"Rasmussen "	NA	"2004-10-14"	783	46	49	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"Wash Post "	NA	"2004-10-10"	754	48	48	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"Strategic Vision (R) "	NA	"2004-10-06"	896	44	49	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"Quinnipiac "	NA	"2004-10-05"	814	44	51	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"Mason-Dixon "	NA	"2004-10-05"	724	44	48	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"ARG "	NA	"2004-10-05"	699	49	47	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"HB&S (D) "	NA	"2004-10-04"	895	49	47	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"SUSA "	NA	"2004-10-03"	810	46	51	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"Rasmussen "	NA	"2004-10-02"	878	47	51	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"Gallup "	NA	"2004-09-27"	803	43	52	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"Gallup "	NA	"2004-09-22"	773	46	49	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"Quinnipiac "	NA	"2004-09-21"	914	41	49	NA	NA	NA	"RV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"ARG "	NA	"2004-09-20"	699	46	45	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"SUSA "	NA	"2004-09-14"	706	45	51	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"Zogby/WSJ** "	NA	"2004-09-03"	393	49.4	49.1	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"Strategic Vision (R) "	NA	"2004-08-29"	896	44	48	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"Research 2000 "	NA	"2004-08-27"	699	46	46	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"Miami Herald "	NA	"2004-08-25"	895	46	48	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"Rasmussen "	NA	"2004-08-24"	600	47	49	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"CNN/USAT/Gallup "	NA	"2004-08-22"	770	46	48	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"Zogby Interactive "	NA	"2004-08-21"	19	49.6	49	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"Strategic Vision (R) "	NA	"2004-08-19"	896	47	46	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"Quinnipiac "	NA	"2004-08-10"	6	47	41	NA	NA	NA	"RV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"ARG "	NA	"2004-08-05"	699	50	43	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"Strategic Vision (R) "	NA	"2004-08-04"	896	47	48	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"Zogby Interactive "	NA	"2004-07-30"	25	49.5	46.7	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
"Pres"	"FL"	2004	"CNN/USAT/Gallup "	NA	"2004-07-22"	798	47	50	NA	NA	NA	"LV"	NA	"2004-11-02"	47.4745438	52.5254562
